Município,Domain,Status,Signal_Found,Notes
Tabuaço,cm-tabuaco.pt,VERIFIED,cm- in domain (auto-pass),
Tarouca,cm-tarouca.pt,VERIFIED,cm- in domain (auto-pass),
Tavira,cm-tavira.pt,VERIFIED,cm- in domain (auto-pass),
Tomar,cm-tomar.pt,VERIFIED,cm- in domain (auto-pass),
Tondela,cm-tondela.pt,VERIFIED,cm- in domain (auto-pass),
Trancoso,cm-trancoso.pt,VERIFIED,cm- in domain (auto-pass),
Vagos,cm-vagos.pt,VERIFIED,cm- in domain (auto-pass),
Valença,cm-valenca.pt,VERIFIED,cm- in domain (auto-pass),
Valongo,cm-valongo.pt,VERIFIED,cm- in domain (auto-pass),
Valpaços,cm-valpacos.pt,VERIFIED,cm- in domain (auto-pass),
Vidigueira,cm-vidigueira.pt,VERIFIED,cm- in domain (auto-pass),
Vimioso,cm-vimioso.pt,VERIFIED,cm- in domain (auto-pass),
Vinhais,cm-vinhais.pt,VERIFIED,cm- in domain (auto-pass),
Viseu,cm-viseu.pt,VERIFIED,cm- in domain (auto-pass),
Vizela,cm-vizela.pt,VERIFIED,cm- in domain (auto-pass),
Vouzela,cm-vouzela.pt,VERIFIED,cm- in domain (auto-pass),
Albergaria-a-Velha,albergaria-a-velha.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Miranda do Corvo,cm-corvo.pt,VERIFIED,cm- in domain (auto-pass),
Santa Maria da Feira,cm-feira.pt,VERIFIED,cm- in domain (auto-pass),
Vila Nova de Gaia,cm-gaia.pt,VERIFIED,cm- in domain (auto-pass),
Santa Cruz da Graciosa,cm-graciosa.pt,VERIFIED,cm- in domain (auto-pass),
Torre de Moncorvo,cm-moncorvo.pt,VERIFIED,cm- in domain (auto-pass),
Vila do Porto,cm-porto.pt,VERIFIED,cm- in domain (auto-pass),
Horta,cmhorta.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Mangualde,cmmangualde.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Velas,cmvelas.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Guarda,guarda.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Aljustrel,mun-aljustrel.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Montijo,mun-montijo.pt,SUSPICIOUS,,Archived: https://arquivo.pt/wayback/20100607084306/http://mun-montijo.pt/
Lajes do Pico,municipio-lajes-do-pico.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Trofa,trofa.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Alter do Chão,alter.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Angra do Heroísmo,angra.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Arcos de Valdevez,arcosdevaldevez.pt,SUSPICIOUS,,Archived: https://arquivo.pt/wayback/20220119192220/http://arcosdevaldevez.pt/
Vila Nova da Barquinha,barquinha.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Cabeceiras de Basto,cabeceiras.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Caldas da Rainha,caldasdarainha.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Castanheira de Pêra,castanheiradepera.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Aguiar da Beira,cm-aguiardabeira.pt,VERIFIED,cm- in domain (auto-pass),
Alcácer do Sal,cm-alcacerdosal.pt,VERIFIED,cm- in domain (auto-pass),
Alfândega da Fé,cm-alfandegadafe.pt,VERIFIED,cm- in domain (auto-pass),
Arruda dos Vinhos,cm-arruda.pt,VERIFIED,cm- in domain (auto-pass),
Calheta [R.A.A.],cm-calheta.pt,VERIFIED,cm- in domain (auto-pass),
Câmara de Lobos,cm-camaradelobos.pt,VERIFIED,cm- in domain (auto-pass),
Carrazeda de Ansiães,cm-carrazedadeansiaes.pt,VERIFIED,cm- in domain (auto-pass),
Carregal do Sal,cm-carregal.pt,VERIFIED,cm- in domain (auto-pass),
Castelo Branco,cm-castelobranco.pt,VERIFIED,cm- in domain (auto-pass),
Castro Daire,cm-castrodaire.pt,VERIFIED,cm- in domain (auto-pass),
Castro Marim,cm-castromarim.pt,VERIFIED,cm- in domain (auto-pass),
Castro Verde,cm-castroverde.pt,VERIFIED,cm- in domain (auto-pass),
Celorico da Beira,cm-celoricodabeira.pt,VERIFIED,cm- in domain (auto-pass),
Celorico de Basto,cm-celoricodebasto.pt,VERIFIED,cm- in domain (auto-pass),
Condeixa-a-Nova,cm-condeixa.pt,VERIFIED,cm- in domain (auto-pass),
Figueira de Castelo Rodrigo,cm-fcr.pt,VERIFIED,cm- in domain (auto-pass),
Ferreira do Zêzere,cm-ferreiradozezere.pt,VERIFIED,cm- in domain (auto-pass),
Figueira da Foz,cm-figfoz.pt,VERIFIED,cm- in domain (auto-pass),
Figueiró dos Vinhos,cm-figueirodosvinhos.pt,VERIFIED,cm- in domain (auto-pass),
Fornos de Algodres,cm-fornosdealgodres.pt,VERIFIED,cm- in domain (auto-pass),
Vila Nova de Foz Côa,cm-fozcoa.pt,VERIFIED,cm- in domain (auto-pass),
Idanha-a-Nova,cm-idanhanova.pt,VERIFIED,cm- in domain (auto-pass),
Lagoa [R.A.A.],cm-lagoa.pt,VERIFIED,cm- in domain (auto-pass),
Macedo de Cavaleiros,cm-macedodecavaleiros.pt,VERIFIED,cm- in domain (auto-pass),
Mesão Frio,cm-mesaofrio.pt,VERIFIED,cm- in domain (auto-pass),
Moimenta da Beira,cm-moimenta.pt,VERIFIED,cm- in domain (auto-pass),
Mondim de Basto,cm-mondimdebasto.pt,VERIFIED,cm- in domain (auto-pass),
Montemor-o-Novo,cm-montemornovo.pt,VERIFIED,cm- in domain (auto-pass),
Oliveira de Azeméis,cm-oaz.pt,VERIFIED,cm- in domain (auto-pass),
Oliveira de Frades,cm-ofrades.pt,VERIFIED,cm- in domain (auto-pass),
Oliveira do Hospital,cm-oliveiradohospital.pt,VERIFIED,cm- in domain (auto-pass),
Pampilhosa da Serra,cm-pampilhosadaserra.pt,VERIFIED,cm- in domain (auto-pass),
Pedrógão Grande,cm-pedrogaogrande.pt,VERIFIED,cm- in domain (auto-pass),
Penalva do Castelo,cm-penalvadocastelo.pt,VERIFIED,cm- in domain (auto-pass),
Peso da Régua,cm-pesoregua.pt,VERIFIED,cm- in domain (auto-pass),
Ponta Delgada,cm-pontadelgada.pt,VERIFIED,cm- in domain (auto-pass),
Ponta do Sol,cm-pontadosol.pt,VERIFIED,cm- in domain (auto-pass),
Ponte da Barca,cm-pontedabarca.pt,VERIFIED,cm- in domain (auto-pass),
Ponte de Lima,cm-pontedelima.pt,VERIFIED,cm- in domain (auto-pass),
Ponte de Sor,cm-pontedesor.pt,VERIFIED,cm- in domain (auto-pass),
Porto Moniz,cm-portomoniz.pt,VERIFIED,cm- in domain (auto-pass),
Porto Santo,cm-portosanto.pt,VERIFIED,cm- in domain (auto-pass),
