Município,Var_Pop,IEI_Score,Total_Arquivo_Captures,Live_StatusCode,CASSANDRA_Risk_Tier,CASSANDRA_Risk_Score
Figueira de Castelo Rodrigo,-17.74,94.4917,381.0,200,TIER 4 - Profecia CASSANDRA,94.3
Ferreira do Zêzere,-8.69,95.5297,1285.0,200,TIER 4 - Profecia CASSANDRA,95.4
Figueira da Foz,-4.7,95.8847,1352.0,200,TIER 2 - Estagnação,0.7
Figueiró dos Vinhos,-13.48,95.3211,812.0,200,TIER 4 - Profecia CASSANDRA,84.7
Fornos de Algodres,-12.15,94.6254,501.0,200,TIER 4 - Profecia CASSANDRA,68.6
Vila Nova de Foz Côa,-12.61,95.1936,460.0,200,TIER 4 - Profecia CASSANDRA,88.4
Idanha-a-Nova,-12.73,99.3315,2611.0,200,TIER 4 - Profecia CASSANDRA,94.3
Lagoa [R.A.A.],-0.4,96.6646,200.0,200,TIER 2 - Estagnação,1.6
Macedo de Cavaleiros,-9.04,95.3053,788.0,200,TIER 3 - Risco de Fuga,14.9
Mesão Frio,-19.63,95.3257,726.0,200,TIER 3 - Risco de Fuga,16.0
Moimenta da Beira,-6.75,95.2736,778.0,200,TIER 3 - Risco de Fuga,23.4
Mondim de Basto,-13.64,92.8607,55.0,403,TIER 4 - Profecia CASSANDRA,81.4
Montemor-o-Novo,-8.02,94.7261,369.0,200,TIER 3 - Risco de Fuga,20.9
Oliveira de Azeméis,-2.97,95.4825,1097.0,200,TIER 2 - Estagnação,1.7
Oliveira de Frades,-6.1,97.1049,16.0,Timeout,TIER 3 - Risco de Fuga,7.7
Oliveira do Hospital,-6.38,95.5808,949.0,200,TIER 3 - Risco de Fuga,12.7
Pampilhosa da Serra,-8.77,95.3172,707.0,200,TIER 4 - Profecia CASSANDRA,58.2
Pedrógão Grande,-10.74,95.3217,778.0,200,TIER 4 - Profecia CASSANDRA,80.5
Penalva do Castelo,-7.76,95.29,651.0,200,TIER 3 - Risco de Fuga,22.2
Peso da Régua,-14.57,95.4701,847.0,200,TIER 4 - Profecia CASSANDRA,40.4
Ponta Delgada,-1.81,97.5367,1026.0,Dead,TIER 2 - Estagnação,1.2
Ponta do Sol,-4.75,96.3587,495.0,200,TIER 2 - Estagnação,2.2
Ponte da Barca,-7.88,92.9949,9.0,Dead,TIER 3 - Risco de Fuga,12.1
Ponte de Lima,-5.18,95.4914,1072.0,200,TIER 2 - Estagnação,1.9
Ponte de Sor,-8.32,94.7906,538.0,200,TIER 3 - Risco de Fuga,17.7
Porto Moniz,-8.97,98.2748,4.0,Dead,TIER 3 - Risco de Fuga,7.8
Porto Santo,-5.64,95.2554,640.0,200,TIER 1 - Resiliência,1.2
Póvoa de Lanhoso,0.39,92.8862,53.0,200,TIER 1 - Resiliência,1.4
Proença-a-Nova,-13.55,99.6439,3247.0,200,TIER 4 - Profecia CASSANDRA,95.4
Póvoa de Varzim,1.99,99.3562,2179.0,200,TIER 1 - Resiliência,1.2
Ribeira Brava,-4.45,92.6322,122.0,200,TIER 2 - Estagnação,1.1
Ribeira Grande,-1.64,95.3171,328.0,Dead,TIER 2 - Estagnação,0.8
Rio Maior,0.53,95.6785,1109.0,Dead,TIER 1 - Resiliência,0.9
Ribeira de Pena,-9.59,94.7396,373.0,200,TIER 3 - Risco de Fuga,40.4
Salvaterra de Magos,-1.06,95.512,895.0,Dead,TIER 2 - Estagnação,1.1
Santa Comba Dão,-7.24,95.325,783.0,200,TIER 3 - Risco de Fuga,33.5
Santa Cruz,-0.9,95.2597,650.0,200,TIER 1 - Resiliência,0.4
São Roque do Pico,-4.01,97.5133,701.0,200,TIER 3 - Risco de Fuga,7.1
São Vicente,-13.72,95.5682,314.0,200,TIER 4 - Profecia CASSANDRA,60.6
São João da Madeira,3.34,95.9332,1097.0,200,TIER 1 - Resiliência,0.8
São João da Pesqueira,-12.61,93.1409,43.0,Dead,TIER 4 - Profecia CASSANDRA,46.7
Santa Marta de Penaguião,-16.46,94.7286,390.0,200,TIER 4 - Profecia CASSANDRA,77.9
Sobral de Monte Agraço,6.36,95.2353,731.0,200,TIER 1 - Resiliência,0.7
São Pedro do Sul,-9.13,95.0662,581.0,Dead,TIER 3 - Risco de Fuga,47.3
Torres Novas,-6.6,95.5746,1236.0,200,TIER 2 - Estagnação,2.1
Vale de Cambra,-6.62,93.0705,155.0,Timeout,TIER 3 - Risco de Fuga,3.3
