Município,Var_Pop,IEI_Score,Total_Arquivo_Captures,Live_StatusCode,CASSANDRA_Risk_Tier,CASSANDRA_Risk_Score,municipio,site_mortality_rate,unique_domains,capture_acceleration,last_capture_gap_days
Seixal,5.34,95.7877,1442.0,200,TIER 1 - Resiliência,0.4,seixal,0.1114,5.0,0.3363499245852187,521.0
Sernancelhe,-0.25,94.6944,283.0,200,TIER 2 - Estagnação,24.7,sernancelhe,0.1298,2.0,0.0754716981132075,1271.0
Serpa,-11.22,95.0493,306.0,200,TIER 4 - Profecia CASSANDRA,67.9,serpa,0.1358,2.0,0.2707509881422925,766.0
Sertã,-5.72,99.6288,628.0,200,TIER 3 - Risco de Fuga,16.9,serta,0.0018,2.0,0.1373015873015873,903.0
Sesimbra,6.45,95.0869,277.0,200,TIER 1 - Resiliência,0.1,sesimbra,0.1178,2.0,0.1229508196721311,2500.0
Setúbal,1.56,96.1677,628.0,Dead,TIER 1 - Resiliência,0.2,setubal,1.0,2.0,0.2232142857142857,580.5
Silves,3.0,94.903,268.0,200,TIER 1 - Resiliência,0.4,silves,0.0056,2.0,0.2458963630511747,767.0
Sines,-0.1,92.8684,124.0,Dead,TIER 2 - Estagnação,0.6,sines,0.0652,2.0,0.1607142857142857,1102.0
Sintra,2.32,95.8816,1254.0,200,TIER 1 - Resiliência,0.2,sintra,0.1778,3.0,0.5736040609137056,488.0
Soure,-10.0,94.6998,279.0,200,TIER 3 - Risco de Fuga,25.1,soure,0.0544,2.0,0.1875766244380874,581.0
Sousel,-12.9,92.9491,155.0,200,TIER 4 - Profecia CASSANDRA,95.6,sousel,0.037,2.0,0.1709401709401709,259.0
Tábua,-6.62,95.8619,610.0,Dead,TIER 3 - Risco de Fuga,5.7,tabua,0.1468,2.0,0.056390977443609,1323.0
Tabuaço,-19.7,95.3774,712.0,200,TIER 3 - Risco de Fuga,39.2,tabuaco,0.264,2.0,0.7863408521303258,490.0
Tarouca,-7.52,95.3417,628.0,Dead,TIER 3 - Risco de Fuga,5.7,tarouca,0.0728,2.0,0.1058419243986254,518.0
Tavira,5.52,94.7763,628.0,200,TIER 1 - Resiliência,0.6,tavira,0.091,2.0,0.8971631205673759,831.0
Tomar,-9.84,95.4843,628.0,200,TIER 3 - Risco de Fuga,7.2,tomar,0.15,2.0,0.2469935245143385,440.0
Tondela,-9.54,95.3779,628.0,200,TIER 3 - Risco de Fuga,5.6,tondela,0.1168,2.0,1.130801687763713,259.0
Trancoso,-14.5,93.6078,628.0,200,TIER 4 - Profecia CASSANDRA,68.8,trancoso,0.0574,2.0,0.9439834024896264,541.0
Vagos,1.31,95.3968,628.0,200,TIER 1 - Resiliência,0.3,vagos,0.771,2.0,0.2410974897840046,582.0
